data,alcohol
"[19326,19658,22065,21816,21638,21434,21176,20675,19508,18881,18585,18323,18050,17823,17456,17623,17475,17356,17250,17138,17003,16943,16836,16765,16648,16630,16516,16515,16467,16428,16379,16329,16265,16242,16220,15876,15231,14546,15053,15517,15872,15926,15734,15843,15925,15963,15583,]", False
"[19701,20474,22252,21935,21645,21335,20975,20445,19341,18544,18022,17698,17468,17264,17004,16925,16783,16633,16505,16387,16264,16154,16015,15936,15788,15726,15651,15560,15254,15401,15318,15202,15132,15087,15018,14951,14907,14838,14794,14741,14693,14644,14591,14546,14504,14455,14406,]", False
"[15303,16268,19111,18615,18017,16419,15483,14936,14607,14442,14323,14223,14145,14065,14031,13963,13932,13891,13852,13813,13780,13750,13697,13676,13631,13631,13606,13582,13515,13534,13522,13502,13485,13475,13459,13430,13426,13356,13410,13391,13386,13372,13361,13364,13354,13308,13331,]", False
"[20634,21356,22607,22542,22444,22289,22146,21944,21401,20650,20151,19762,19484,19266,19006,18863,18550,18305,18249,18213,18130,18002,17831,17709,17450,17519,17321,17198,17137,17014,16903,16730,16690,16600,16534,16306,16150,15995,15837,15913,15930,15893,15798,15656,15436,15280,15395,]", False
"[17594,18318,20830,20419,20065,19765,19523,18229,16706,16035,15510,15149,13605,11815,11248,12248,12596,12713,12303,12079,12306,12271,12217,12139,12051,11957,11877,11759,11698,11625,11543,11485,11420,11355,11295,11233,11125,11128,11071,11018,10973,10919,10864,10842,10801,10757,10722,]", False
"[12455,13523,16850,16413,16098,15833,15517,15095,13990,12750,12073,11687,11426,11240,11108,11012,10916,10828,10742,10645,10588,10530,10470,10414,10360,10280,10257,10214,10182,10147,10104,10039,10034,9999,9964,9941,9920,9894,9870,9853,9832,9816,9796,9779,9763,9751,9738,]", False
"[19481,20354,22150,21966,21761,21502,21087,20276,19495,18354,17749,17123,16859,16505,16208,15933,15660,15377,15136,14908,14700,14508,14315,14115,13918,13744,13607,13456,13305,13164,13023,12861,12760,12648,12459,12391,12199,12201,12121,12028,11912,11825,11766,11692,11621,11546,11470,]", False
"[10052,11112,14849,14603,14318,13931,13260,12618,11704,10844,10390,10214,10082,10031,9987,9958,9934,9914,9892,9873,9873,9795,9859,9848,9830,9811,9806,9794,9795,9780,9762,9775,9754,9752,9766,9759,9699,9735,9696,9741,9734,9738,9735,9720,9724,9724,9720,]", False
"[19237,19966,21431,21162,20264,19118,18326,17647,17025,16543,16133,15750,15436,15129,14828,14543,14267,13998,13745,13424,13237,13061,12867,12665,12451,12343,12185,12032,11859,11695,11396,11336,11289,11209,11118,10995,10911,10839,10749,10577,10529,10458,10411,10358,10298,10231,10178,]", False
"[19237,19966,21431,21162,20264,19118,18326,17647,17025,16543,16133,15750,15436,15129,14828,14543,14267,13998,13745,13424,13237,13061,12867,12665,12451,12343,12185,12032,11859,11695,11396,11336,11289,11209,11118,10995,10911,10839,10749,10577,10529,10458,10411,10358,10298,10231,10178,]", False
"[18287,19013,21256,21091,20635,20539,20212,19755,18639,17894,17454,17144,16903,16680,16527,16375,16233,16086,15962,15812,15716,15614,15514,15409,15314,15205,15124,15046,14962,14880,14802,14735,14642,14620,14561,14503,14418,14376,14324,14282,14235,14172,14131,14094,14052,14030,13992,]", False
"[19208,20009,21937,21764,21529,21279,21005,20177,19192,18700,18337,18061,17794,17602,17436,17252,17082,16921,16735,16577,16384,16341,16193,16045,15839,15807,15629,15618,15512,15399,15189,15224,15108,15055,14982,14879,14816,14660,14595,14642,14576,14413,14443,14437,14372,14316,14276,]", False
"[16908,17700,19119,18572,18207,17803,17434,17374,14473,12229,11049,10343,9861,9473,9189,8935,8727,8490,8375,8210,8095,7971,7866,7765,7530,7594,7513,7443,7379,7246,7262,7212,7165,7119,7078,7036,6989,6960,6928,6896,6867,6834,6814,6787,6751,6742,6720,]", True
"[18037,19187,22273,22081,22107,22160,22033,22150,20894,19166,18159,17636,17299,17102,16986,16822,16757,16658,16539,16426,16181,16311,16229,16154,15952,16016,15900,15894,15833,15699,15613,15596,15547,15462,15552,15460,15413,15419,15391,14806,15341,15216,15212,15231,15195,15167,15106,]", False
