decay,mean_diff,min,mean,median,last,amplitude,std,rise,min_diff,max_diff,max,first_diff,median_diff,std_diff,first,alcohol,data
284,-0.3829787234042553,23250,23557.72340425532,23281.0,23275,2966,750.5064870132893,-2682,-1006.5,1341.0,26216,479.0,-2.0,334.27629831775573,23534,False,"[23534, 24013, 26216, 26172, 26108, 25037, 24095, 23649, 23437, 23394, 23366, 23343, 23332, 23326, 23324, 23322, 23316, 23296, 23306, 23302, 23295, 23292, 23289, 23281, 23276, 23275, 23271, 23268, 23268, 23266, 23267, 23265, 23265, 23266, 23250, 23270, 23270, 23271, 23270, 23270, 23268, 23267, 23265, 23264, 23269, 23272, 23275]"
261,-0.3617021276595745,23536,23877.44680851064,23585.0,23596,2607,756.4738510527309,-2346,-858.5,1168.5,26143,367.0,0.5,297.0884201226174,23797,False,"[23797, 24164, 26134, 26143, 26142, 26120, 25365, 24403, 23872, 23720, 23652, 23598, 23609, 23598, 23591, 23586, 23584, 23582, 23577, 23555, 23545, 23560, 23556, 23557, 23555, 23559, 23562, 23568, 23543, 23569, 23572, 23573, 23574, 23578, 23576, 23579, 23550, 23536, 23585, 23585, 23588, 23591, 23595, 23598, 23603, 23595, 23596]"
204,8.680851063829786,23695,24055.574468085106,23765.0,23801,2664,757.61992147838,-2460,-862.0,1175.0,26359,1006.0,2.0,312.7374997594336,23899,False,"[23899, 24905, 26249, 26359, 26335, 26225, 25453, 24501, 24006, 23876, 23807, 23773, 23774, 23770, 23765, 23717, 23745, 23745, 23732, 23720, 23722, 23721, 23722, 23698, 23711, 23724, 23729, 23732, 23735, 23737, 23741, 23745, 23695, 23756, 23755, 23762, 23759, 23766, 23772, 23776, 23773, 23763, 23783, 23788, 23795, 23795, 23801]"
444,-4.787234042553192,23523,24066.489361702126,23586.0,23553,2762,951.3265994375483,-2318,-796.0,1159.0,26285,417.0,-3.5,286.2027774733982,23967,False,"[23967, 24384, 26285, 26237, 26228, 26188, 26178, 26157, 26076, 25326, 24484, 24028, 23772, 23712, 23676, 23631, 23628, 23616, 23605, 23600, 23546, 23581, 23580, 23576, 23573, 23569, 23564, 23562, 23563, 23523, 23564, 23562, 23560, 23561, 23565, 23567, 23567, 23539, 23567, 23577, 23581, 23584, 23586, 23593, 23592, 23592, 23553]"
33,6.361702127659575,23826,24297.72340425532,23938.0,23943,2443,723.5359641350627,-2410,-849.5,1205.0,26269,428.0,2.0,397.3566558894521,23859,False,"[23859, 24287, 26269, 26188, 26115, 25477, 24510, 24093, 23938, 24693, 25973, 26052, 25053, 24353, 24047, 23945, 23908, 23942, 24621, 24848, 24274, 24028, 23933, 23897, 23881, 23826, 23874, 23878, 23881, 23886, 23890, 23893, 23895, 23844, 23884, 23908, 23909, 23912, 23916, 23920, 23921, 23928, 23883, 23939, 23938, 23941, 23943]"
197,0.9468085106382979,24090,24516.68085106383,24158.0,24172,2186,727.73006541135,-1989,-763.5,919.5,26276,314.0,0.0,254.58361644326624,24287,False,"[24287, 24601, 26126, 26260, 26276, 26253, 25607, 25716, 26141, 26052, 25059, 24525, 24291, 24205, 24170, 24107, 24147, 24151, 24147, 24148, 24115, 24144, 24149, 24145, 24128, 24162, 24152, 24158, 24160, 24158, 24154, 24160, 24140, 24159, 24090, 24158, 24157, 24158, 24157, 24157, 24139, 24098, 24152, 24162, 24164, 24167, 24172]"
0,15.372340425531915,21114,21802.340425531915,21311.0,21435,4437,1263.6381615518937,-4437,-1297.5,2201.5,25551,794.0,6.5,513.7600572175978,21114,False,"[21114, 21908, 25517, 25472, 25551, 24928, 24724, 23700, 22129, 21664, 21437, 21331, 21281, 21251, 21236, 21217, 21228, 21224, 21221, 21216, 21216, 21226, 21230, 21233, 21233, 21236, 21239, 21247, 21263, 21271, 21276, 21284, 21291, 21298, 21311, 21322, 21331, 21337, 21345, 21359, 21369, 21380, 21393, 21399, 21411, 21426, 21435]"
157,5.98936170212766,21959,22525.744680851065,22007.0,22026,4109,1249.8020620340526,-3952,-1379.5,1976.0,26068,742.0,-0.5,476.81898271322075,22116,False,"[22116, 22858, 26068, 25943, 25854, 25812, 25777, 24643, 23018, 22481, 22234, 22126, 22068, 22041, 22030, 22016, 22007, 22004, 21993, 21988, 21988, 21982, 21976, 21972, 21959, 21968, 21968, 21967, 21967, 21968, 21968, 21963, 21967, 21978, 21982, 21985, 21984, 21992, 21990, 21993, 22007, 22008, 22013, 22016, 22021, 22025, 22026]"
168,4.085106382978723,22317,22756.787234042553,22347.0,22366,3667,1054.905722887744,-3499,-1239.5,1749.5,25984,614.0,-2.0,431.1821379390684,22485,False,"[22485, 23099, 25984, 25957, 25966, 25899, 24612, 23420, 22756, 22553, 22461, 22426, 22401, 22382, 22373, 22357, 22352, 22347, 22346, 22343, 22339, 22337, 22335, 22331, 22330, 22325, 22323, 22326, 22320, 22324, 22324, 22320, 22323, 22327, 22329, 22331, 22331, 22317, 22344, 22340, 22352, 22354, 22355, 22329, 22360, 22358, 22366]"
41,31.70212765957447,22634,23001.63829787234,22678.0,22776,3177,861.7619066301197,-3136,-945.5,2778.0,25811,2778.0,2.0,514.2372322988012,22675,False,"[22675, 25453, 25811, 25686, 25461, 24617, 23570, 23038, 22783, 22701, 22669, 22657, 22650, 22641, 22637, 22637, 22634, 22637, 22641, 22639, 22639, 22634, 22647, 22650, 22651, 22656, 22656, 22658, 22659, 22657, 22672, 22672, 22678, 22691, 22700, 22707, 22714, 22719, 22731, 22742, 22748, 22749, 22756, 22753, 22749, 22776, 22776]"
