data,alcohol
"[23534, 24013, 26216, 26172, 26108, 25037, 24095, 23649, 23437, 23394, 23366, 23343, 23332, 23326, 23324, 23322, 23316, 23296, 23306, 23302, 23295, 23292, 23289, 23281, 23276, 23275, 23271, 23268, 23268, 23266, 23267, 23265, 23265, 23266, 23250, 23270, 23270, 23271, 23270, 23270, 23268, 23267, 23265, 23264, 23269, 23272, 23275]",False
"[23797, 24164, 26134, 26143, 26142, 26120, 25365, 24403, 23872, 23720, 23652, 23598, 23609, 23598, 23591, 23586, 23584, 23582, 23577, 23555, 23545, 23560, 23556, 23557, 23555, 23559, 23562, 23568, 23543, 23569, 23572, 23573, 23574, 23578, 23576, 23579, 23550, 23536, 23585, 23585, 23588, 23591, 23595, 23598, 23603, 23595, 23596]",False
"[23899, 24905, 26249, 26359, 26335, 26225, 25453, 24501, 24006, 23876, 23807, 23773, 23774, 23770, 23765, 23717, 23745, 23745, 23732, 23720, 23722, 23721, 23722, 23698, 23711, 23724, 23729, 23732, 23735, 23737, 23741, 23745, 23695, 23756, 23755, 23762, 23759, 23766, 23772, 23776, 23773, 23763, 23783, 23788, 23795, 23795, 23801]",False
"[23967, 24384, 26285, 26237, 26228, 26188, 26178, 26157, 26076, 25326, 24484, 24028, 23772, 23712, 23676, 23631, 23628, 23616, 23605, 23600, 23546, 23581, 23580, 23576, 23573, 23569, 23564, 23562, 23563, 23523, 23564, 23562, 23560, 23561, 23565, 23567, 23567, 23539, 23567, 23577, 23581, 23584, 23586, 23593, 23592, 23592, 23553]",False
"[23859, 24287, 26269, 26188, 26115, 25477, 24510, 24093, 23938, 24693, 25973, 26052, 25053, 24353, 24047, 23945, 23908, 23942, 24621, 24848, 24274, 24028, 23933, 23897, 23881, 23826, 23874, 23878, 23881, 23886, 23890, 23893, 23895, 23844, 23884, 23908, 23909, 23912, 23916, 23920, 23921, 23928, 23883, 23939, 23938, 23941, 23943]",False
"[24287, 24601, 26126, 26260, 26276, 26253, 25607, 25716, 26141, 26052, 25059, 24525, 24291, 24205, 24170, 24107, 24147, 24151, 24147, 24148, 24115, 24144, 24149, 24145, 24128, 24162, 24152, 24158, 24160, 24158, 24154, 24160, 24140, 24159, 24090, 24158, 24157, 24158, 24157, 24157, 24139, 24098, 24152, 24162, 24164, 24167, 24172]",False
"[21114, 21908, 25517, 25472, 25551, 24928, 24724, 23700, 22129, 21664, 21437, 21331, 21281, 21251, 21236, 21217, 21228, 21224, 21221, 21216, 21216, 21226, 21230, 21233, 21233, 21236, 21239, 21247, 21263, 21271, 21276, 21284, 21291, 21298, 21311, 21322, 21331, 21337, 21345, 21359, 21369, 21380, 21393, 21399, 21411, 21426, 21435]",False
"[22116, 22858, 26068, 25943, 25854, 25812, 25777, 24643, 23018, 22481, 22234, 22126, 22068, 22041, 22030, 22016, 22007, 22004, 21993, 21988, 21988, 21982, 21976, 21972, 21959, 21968, 21968, 21967, 21967, 21968, 21968, 21963, 21967, 21978, 21982, 21985, 21984, 21992, 21990, 21993, 22007, 22008, 22013, 22016, 22021, 22025, 22026]",False
"[22485, 23099, 25984, 25957, 25966, 25899, 24612, 23420, 22756, 22553, 22461, 22426, 22401, 22382, 22373, 22357, 22352, 22347, 22346, 22343, 22339, 22337, 22335, 22331, 22330, 22325, 22323, 22326, 22320, 22324, 22324, 22320, 22323, 22327, 22329, 22331, 22331, 22317, 22344, 22340, 22352, 22354, 22355, 22329, 22360, 22358, 22366]",False
"[22675, 25453, 25811, 25686, 25461, 24617, 23570, 23038, 22783, 22701, 22669, 22657, 22650, 22641, 22637, 22637, 22634, 22637, 22641, 22639, 22639, 22634, 22647, 22650, 22651, 22656, 22656, 22658, 22659, 22657, 22672, 22672, 22678, 22691, 22700, 22707, 22714, 22719, 22731, 22742, 22748, 22749, 22756, 22753, 22749, 22776, 22776]",False
