NM_M,PE,Formation_B5 LM,ILD_log10,PHIND,GR,Depth,Formation_A1 SH,Formation_B4 SH,Formation_B1 SH,Well Name_Recruit F9,Formation_B2 LM,Formation_C LM,Formation_B3 SH,DeltaPHI,Formation_B1 LM,Formation_C SH,Well Name_CROSS H CATTLE,Formation_B2 SH,Formation_B3 LM,Facies
1,4.6,False,0.664,11.915,77.45,2793.0,True,False,False,False,False,False,False,9.9,False,False,False,False,False,3
1,4.1,False,0.661,12.565,78.26,2793.5,True,False,False,False,False,False,False,14.2,False,False,False,False,False,3
1,3.6,False,0.658,13.05,79.05,2794.0,True,False,False,False,False,False,False,14.8,False,False,False,False,False,3
1,3.5,False,0.655,13.115,86.1,2794.5,True,False,False,False,False,False,False,13.9,False,False,False,False,False,3
1,3.4,False,0.647,13.3,74.58,2795.0,True,False,False,False,False,False,False,13.5,False,False,False,False,False,3
1,3.6,False,0.636,13.385,73.97,2795.5,True,False,False,False,False,False,False,14.0,False,False,False,False,False,3
1,3.7,False,0.63,13.93,73.72,2796.0,True,False,False,False,False,False,False,15.6,False,False,False,False,False,3
1,3.5,False,0.625,13.92,75.65,2796.5,True,False,False,False,False,False,False,16.5,False,False,False,False,False,3
1,3.4,False,0.624,13.98,73.79,2797.0,True,False,False,False,False,False,False,16.2,False,False,False,False,False,3
1,3.5,False,0.615,14.22,76.89,2797.5,True,False,False,False,False,False,False,16.9,False,False,False,False,False,3
1,3.6,False,0.6,13.375,76.11,2798.0,True,False,False,False,False,False,False,14.8,False,False,False,False,False,3
1,3.7,False,0.583,12.69,74.95,2798.5,True,False,False,False,False,False,False,13.3,False,False,False,False,False,3
1,3.5,False,0.561,12.475,71.87,2799.0,True,False,False,False,False,False,False,11.3,False,False,False,False,False,3
1,3.4,False,0.537,14.93,83.42,2799.5,True,False,False,False,False,False,False,13.3,False,False,False,False,False,3
1,3.2,False,0.519,16.555,90.1,2800.0,True,False,False,False,False,False,False,14.3,False,False,False,False,False,2
1,3.1,False,0.467,15.96,78.15,2800.5,True,False,False,False,False,False,False,11.8,False,False,False,False,False,2
1,3.1,False,0.438,15.12,69.3,2801.0,True,False,False,False,False,False,False,9.5,False,False,False,False,False,2
1,3.0,False,0.418,15.19,63.54,2801.5,True,False,False,False,False,False,False,8.8,False,False,False,False,False,2
1,2.9,False,0.401,15.39,63.87,2802.0,True,False,False,False,False,False,False,7.2,False,False,False,False,False,2
1,2.8,False,0.386,14.885,58.32,2802.5,True,False,False,False,False,False,False,6.6,False,False,False,False,False,2
1,3.0,False,0.369,14.8,56.61,2803.0,True,False,False,False,False,False,False,5.5,False,False,False,False,False,2
1,3.0,False,0.352,14.46,55.97,2803.5,True,False,False,False,False,False,False,6.1,False,False,False,False,False,2
1,3.0,False,0.344,14.745,63.67,2804.0,True,False,False,False,False,False,False,6.0,False,False,False,False,False,2
1,3.0,False,0.342,15.135,66.2,2804.5,True,False,False,False,False,False,False,6.8,False,False,False,False,False,2
1,3.0,False,0.346,15.48,61.27,2805.0,True,False,False,False,False,False,False,6.1,False,False,False,False,False,2
1,3.0,False,0.354,14.675,69.48,2805.5,True,False,False,False,False,False,False,5.8,False,False,False,False,False,3
1,3.0,False,0.354,13.635,76.37,2806.0,True,False,False,False,False,False,False,5.2,False,False,False,False,False,3
1,3.0,False,0.348,15.055,82.2,2806.5,True,False,False,False,False,False,False,7.4,False,False,False,False,False,2
