duration,distance,place,type
14:39:12,1036.23,SÃO PAULO,VUC
13:40:21,887.25,SÃO PAULO,TOCO
13:11:51,854.96,SÃO PAULO,TOCO
14:06:40,842.5,SÃO PAULO,TOCO
13:53:13,839.72,SÃO PAULO,TOCO
13:32:06,829.45,DUQUE DE CAXIAS,TOCO
12:28:26,820.08,SÃO PAULO,TOCO
13:34:03,807.63,SÃO PAULO,TOCO
12:08:19,793.15,SÃO PAULO,TOCO
12:08:42,792.46,SÃO PAULO,VUC
12:12:08,776.27,SÃO PAULO,VUC
11:38:40,750.05,SÃO PAULO,TOCO
11:56:19,723.08,SÃO PAULO,TOCO
11:49:06,721.99,SÃO PAULO,VUC
11:22:29,715.07,SÃO PAULO,TOCO
12:39:00,713.06,SÃO PAULO,TOCO
11:24:52,710.49,SÃO PAULO,TOCO
11:29:07,703.42,SÃO PAULO,TOCO
11:19:47,699.77,SÃO PAULO,TOCO
12:00:24,699.62,VITÓRIA,VUC
09:40:20,697.12,VITÓRIA,VUC
11:54:18,693.28,SÃO PAULO,TOCO
10:31:11,689.58,SÃO PAULO,TOCO
12:58:04,688.14,SÃO PAULO,TOCO
11:25:31,680.1,SÃO PAULO,TOCO
11:44:58,672.2,VITÓRIA,VUC
11:38:30,651.0,DUQUE DE CAXIAS,VUC
09:51:40,650.91,SÃO PAULO,TOCO
09:20:50,641.5,VITÓRIA,VUC
10:56:51,638.74,SÃO PAULO,TOCO
10:48:00,632.9,SÃO PAULO,TOCO
10:43:54,619.39,DUQUE DE CAXIAS,VUC
09:53:30,613.7,SÃO PAULO,TOCO
09:25:11,613.29,SÃO PAULO,TOCO
09:51:47,607.1,SÃO PAULO,TOCO
10:17:27,606.92,DUQUE DE CAXIAS,VUC
10:28:31,605.97,SÃO PAULO,TOCO
09:26:40,605.75,SÃO PAULO,TOCO
09:33:21,605.71,SÃO PAULO,TOCO
09:04:38,604.85,SÃO PAULO,TOCO
09:11:22,604.1,SÃO PAULO,TOCO
10:05:10,599.32,SÃO PAULO,TOCO
09:51:40,596.28,SÃO PAULO,TOCO
10:49:22,596.06,DUQUE DE CAXIAS,VUC
11:13:43,593.88,DUQUE DE CAXIAS,VUC
09:49:51,593.23,SÃO PAULO,TOCO
10:51:14,588.55,MACAÉ,CARRETA
09:31:02,587.39,SÃO PAULO,TOCO
09:14:58,587.32,SÃO PAULO,TOCO
08:12:36,586.81,SÃO PAULO,VUC
09:14:09,586.45,SÃO PAULO,TOCO
09:08:15,585.95,SÃO PAULO,VUC
08:37:32,582.83,SÃO PAULO,TOCO
09:19:37,576.5,VITÓRIA,VUC
09:00:05,575.91,SÃO PAULO,TOCO
09:28:29,575.17,SÃO PAULO,TOCO
08:36:59,571.92,SÃO PAULO,VUC
11:32:16,558.19,DUQUE DE CAXIAS,VUC
10:21:23,554.48,MACAÉ,CARRETA
08:30:14,550.85,SÃO PAULO,TOCO
08:25:40,547.93,SÃO PAULO,TOCO
08:36:14,546.78,SÃO PAULO,TOCO
10:36:55,546.65,MACAÉ,CARRETA
10:17:57,546.61,MACAÉ,CARRETA
08:20:15,546.18,SÃO PAULO,TOCO
09:03:34,545.14,DUQUE DE CAXIAS,TOCO
09:28:09,544.46,MACAÉ,CARRETA
09:38:58,543.9,MACAÉ,CARRETA
10:11:23,543.14,DUQUE DE CAXIAS,VUC
08:06:33,537.18,SÃO PAULO,TOCO
10:00:51,536.73,DUQUE DE CAXIAS,VUC
09:35:53,532.4,SÃO PAULO,TOCO
10:10:08,531.3,DUQUE DE CAXIAS,CARRETA
09:39:09,530.17,SÃO PAULO,TOCO
09:44:03,530.16,DUQUE DE CAXIAS,VUC
10:56:13,529.51,MACAÉ,CARRETA
08:41:58,523.31,SÃO PAULO,TOCO
09:49:56,522.47,DUQUE DE CAXIAS,VUC
09:50:06,520.37,DUQUE DE CAXIAS,VUC
