iter	RMSE
0	162.0155748
1	149.1680371
2	138.6326177
3	129.4318549
4	121.4629976
5	113.7223305
6	106.2110136
7	99.56507974
8	93.7383017
9	88.58413091
10	84.62908606
11	80.76006214
12	77.15058814
13	73.91034429
14	71.16138749
15	68.78858602
16	66.76247638
17	64.81143799
18	63.0330744
19	61.63135912
20	60.38101413
21	59.26709353
22	58.31427245
23	57.45591058
24	56.65955894
25	55.98822225
26	55.39273614
27	54.9823132
28	54.50144247
29	54.06046131
30	53.71402009
31	53.36762592
32	53.15251129
33	52.98498974
34	52.70922444
35	52.49203957
36	52.30112424
37	52.1088706
38	51.94308079
39	51.83120203
40	51.69196927
41	51.52967746
42	51.41319268
43	51.28130366
44	51.19994971
45	51.14023995
46	51.06816063
47	50.98165094
48	50.92810657
49	50.84640458
50	50.7781203
51	50.7445127
52	50.67489154
53	50.54300395
54	50.49584652
55	50.44959104
56	50.41238511
57	50.34318445
58	50.29481441
59	50.2736048
60	50.2519537
61	50.22780567
62	50.20127523
63	50.17068845
64	50.14422447
65	50.10961555
66	50.0472379
67	49.97107688
68	49.85546597
69	49.83228832
70	49.75069886
71	49.70159172
72	49.63847341
73	49.56871377
74	49.51917394
75	49.4807342
76	49.45931808
77	49.40983255
78	49.3815532
79	49.32382272
80	49.28894894
81	49.2402528
82	49.18273183
83	49.15239647
84	49.10126033
85	49.06521484
86	49.03446603
87	48.99159914
88	48.96896923
89	48.94363956
90	48.91744111
91	48.8503443
92	48.82728714
93	48.79264208
94	48.7691681
95	48.75209104
96	48.73244839
97	48.6763756
98	48.66184829
99	48.63261965
