iter	Passed	Remaining
0	132	13157
1	133	6538
2	133	4327
3	134	3220
4	134	2555
5	134	2112
6	135	1795
7	135	1557
8	135	1372
9	136	1224
10	136	1103
11	136	1002
12	137	916
13	137	843
14	137	779
15	137	724
16	138	674
17	138	630
18	138	591
19	139	556
20	139	524
21	139	495
22	139	468
23	140	444
24	140	421
25	140	401
26	141	381
27	141	364
28	141	347
29	142	331
30	142	317
31	142	303
32	143	290
33	143	278
34	143	267
35	144	256
36	144	246
37	145	236
38	145	227
39	146	219
40	146	210
41	146	202
42	147	195
43	147	187
44	148	180
45	148	174
46	148	168
47	149	161
48	149	155
49	150	150
50	150	144
51	150	139
52	151	134
53	151	129
54	151	124
55	152	119
56	152	115
57	153	110
58	153	106
59	153	102
60	153	98
61	154	94
62	154	90
63	154	87
64	155	83
65	155	80
66	155	76
67	156	73
68	156	70
69	157	67
70	157	64
71	157	61
72	158	58
73	158	55
74	159	53
75	159	50
76	159	47
77	160	45
78	160	42
79	161	40
80	161	37
81	161	35
82	162	33
83	162	30
84	163	28
85	163	26
86	163	24
87	164	22
88	164	20
89	164	18
90	165	16
91	165	14
92	166	12
93	166	10
94	166	8
95	167	6
96	167	5
97	167	3
98	168	1
99	168	0
