iter	Passed	Remaining
0	0	778
1	1	688
2	1	642
3	2	624
4	3	604
5	3	591
6	4	595
7	4	591
8	5	588
9	5	585
10	6	578
11	6	574
12	7	570
13	8	566
14	8	562
15	9	561
16	9	558
17	10	556
18	10	553
19	11	551
20	11	549
21	12	548
22	12	547
23	13	545
24	13	544
25	14	544
26	15	542
27	15	541
28	16	543
29	16	545
30	17	546
31	18	546
32	18	545
33	19	544
34	19	543
35	20	542
36	20	541
37	21	541
38	21	540
39	22	540
40	23	540
41	23	541
42	24	541
43	24	541
44	25	543
45	26	543
46	26	543
47	27	543
48	27	543
49	28	542
50	29	542
51	29	545
52	30	544
53	31	544
54	31	543
55	32	543
56	32	542
57	33	541
58	33	541
59	34	541
60	35	541
61	35	541
62	36	541
63	36	540
64	37	540
65	38	539
66	38	538
67	39	538
68	39	537
69	40	537
70	41	536
71	41	536
72	42	535
73	42	535
74	43	534
75	43	534
76	44	533
77	45	532
78	45	532
79	46	531
80	46	531
81	47	530
82	48	530
83	48	529
84	49	529
85	49	529
86	50	528
87	50	528
88	51	527
89	52	526
90	52	525
91	53	525
92	53	525
93	54	524
94	55	524
95	55	523
96	56	523
97	56	522
98	57	523
99	58	522
100	58	522
101	59	522
102	59	521
103	60	521
104	61	520
105	61	520
106	62	519
107	62	519
108	63	518
109	64	520
110	64	519
111	65	519
112	66	518
113	66	518
114	67	517
115	67	517
116	68	517
117	69	516
118	69	515
119	70	515
120	70	515
121	71	514
122	72	514
123	72	513
124	73	513
125	74	513
126	74	512
127	75	512
128	75	512
129	76	511
130	77	511
131	77	511
132	78	510
133	78	509
134	79	509
135	80	508
136	80	507
137	81	507
138	81	506
139	82	505
140	82	505
141	83	504
142	84	504
143	84	503
144	85	502
145	85	502
146	86	501
147	86	500
148	87	500
149	88	499
150	88	498
151	89	498
152	89	497
153	90	497
154	91	496
155	91	496
156	92	495
157	92	494
158	93	494
159	94	493
160	94	493
161	95	492
162	95	492
163	96	491
164	97	491
165	97	490
166	98	489
167	98	489
168	99	488
169	99	488
170	100	487
171	101	487
172	101	486
173	102	486
174	102	485
175	103	484
176	104	484
177	104	483
178	105	482
179	105	482
180	106	481
181	107	481
182	107	480
183	108	480
184	108	479
185	109	478
186	110	478
187	110	477
188	111	477
189	111	476
190	112	476
