wx,time,pitch,wz,az,ay,yaw,ax,roll,wy
-5.0,1.03,4909.0,1.0,327.0,380.0,32039.0,-17.0,328.0,-5.0
-5.0,1.03,4909.0,1.0,327.0,380.0,32039.0,-17.0,328.0,-5.0
-3.0,1.05,4908.0,-4.0,325.0,379.0,32040.0,-20.0,329.0,4.0
1.0,1.08,4908.0,-8.0,325.0,378.0,32043.0,-16.0,332.0,8.0
8.0,1.1,4909.0,-2.0,325.0,379.0,32044.0,-16.0,335.0,7.0
11.0,1.11,4911.0,4.0,326.0,379.0,32044.0,-16.0,335.0,3.0
11.0,1.12,4912.0,7.0,325.0,378.0,32043.0,-16.0,334.0,-1.0
7.0,1.13,4913.0,5.0,324.0,377.0,32042.0,-17.0,333.0,-3.0
2.0,1.14,4913.0,4.0,327.0,377.0,32042.0,-20.0,332.0,0.0
1.0,1.15,4913.0,3.0,328.0,377.0,32041.0,-18.0,333.0,6.0
1.0,1.16,4913.0,-1.0,326.0,376.0,32041.0,-13.0,333.0,1.0
-1.0,1.17,4913.0,-5.0,326.0,375.0,32042.0,-15.0,333.0,-1.0
0.0,1.18,4913.0,-4.0,325.0,374.0,32043.0,-18.0,334.0,9.0
2.0,1.19,4914.0,-2.0,324.0,376.0,32043.0,-14.0,336.0,20.0
4.0,1.2,4914.0,2.0,324.0,376.0,32043.0,-11.0,338.0,18.0
4.0,1.21,4915.0,5.0,323.0,378.0,32042.0,-12.0,338.0,6.0
4.0,1.22,4915.0,10.0,322.0,379.0,32041.0,-17.0,337.0,2.0
2.0,1.23,4915.0,15.0,322.0,381.0,32038.0,-24.0,337.0,22.0
-3.0,1.24,4915.0,21.0,323.0,382.0,32035.0,-21.0,339.0,42.0
-5.0,1.25,4915.0,18.0,325.0,382.0,32032.0,-13.0,340.0,35.0
-6.0,1.26,4914.0,7.0,325.0,383.0,32031.0,-10.0,341.0,12.0
-9.0,1.27,4913.0,-4.0,324.0,384.0,32031.0,-13.0,340.0,-12.0
-10.0,1.28,4912.0,-9.0,325.0,385.0,32033.0,-16.0,339.0,-19.0
-12.0,1.29,4911.0,-6.0,325.0,384.0,32034.0,-18.0,338.0,-15.0
-13.0,1.3,4910.0,0.0,324.0,383.0,32033.0,-18.0,337.0,-10.0
-14.0,1.31,4909.0,7.0,324.0,383.0,32032.0,-17.0,335.0,-10.0
-12.0,1.32,4907.0,11.0,326.0,382.0,32030.0,-22.0,333.0,-8.0
-24.0,1.34,4904.0,12.0,324.0,381.0,32026.0,-22.0,334.0,27.0
-29.0,1.36,4898.0,4.0,330.0,375.0,32024.0,-17.0,338.0,31.0
-29.0,1.36,4898.0,4.0,330.0,375.0,32024.0,-17.0,338.0,31.0
-31.0,1.37,4895.0,-5.0,329.0,374.0,32024.0,-16.0,340.0,21.0
-33.0,1.38,4892.0,-9.0,329.0,372.0,32025.0,-20.0,343.0,15.0
-34.0,1.39,4888.0,-7.0,328.0,373.0,32026.0,-17.0,345.0,19.0
-29.0,1.4,4885.0,-5.0,327.0,371.0,32027.0,-15.0,347.0,18.0
-22.0,1.41,4883.0,-5.0,328.0,370.0,32027.0,-12.0,349.0,10.0
-1.0,1.43,4882.0,-2.0,330.0,373.0,32029.0,-22.0,351.0,12.0
7.0,1.44,4883.0,2.0,330.0,373.0,32028.0,-18.0,353.0,28.0
13.0,1.45,4884.0,3.0,330.0,371.0,32028.0,-13.0,355.0,23.0
17.0,1.47,4887.0,1.0,329.0,373.0,32028.0,-18.0,357.0,10.0
17.0,1.48,4889.0,4.0,327.0,375.0,32028.0,-21.0,358.0,14.0
16.0,1.49,4891.0,7.0,324.0,376.0,32027.0,-17.0,359.0,14.0
17.0,1.5,4892.0,6.0,323.0,377.0,32026.0,-12.0,358.0,0.0
18.0,1.51,4894.0,2.0,326.0,379.0,32026.0,-17.0,357.0,-12.0
16.0,1.52,4896.0,-1.0,325.0,381.0,32026.0,-21.0,356.0,-7.0
12.0,1.53,4897.0,1.0,324.0,382.0,32026.0,-23.0,357.0,5.0
2.0,1.55,4898.0,0.0,328.0,380.0,32026.0,-14.0,358.0,7.0
-1.0,1.56,4898.0,1.0,326.0,380.0,32025.0,-20.0,358.0,-3.0
-5.0,1.57,4897.0,5.0,326.0,381.0,32025.0,-26.0,358.0,5.0
-10.0,1.58,4896.0,10.0,327.0,381.0,32023.0,-24.0,359.0,20.0
-11.0,1.6,4894.0,2.0,329.0,377.0,32021.0,-19.0,361.0,14.0
-15.0,1.61,4893.0,-4.0,329.0,375.0,32022.0,-18.0,362.0,6.0
-18.0,1.62,4891.0,-8.0,328.0,375.0,32023.0,-17.0,363.0,-2.0
-19.0,1.63,4889.0,-10.0,327.0,373.0,32024.0,-15.0,362.0,-10.0
-14.0,1.65,4886.0,-3.0,323.0,374.0,32025.0,-15.0,359.0,-23.0
