u,u(n-1),u(n-2),u(n-3),u(n-4),x(n-1),x(n-2),x(n-3),x(n-4),sensor
255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008
255,255.0,0.0,0.0,0.0,1008.0,0.0,0.0,0.0,699
255,255.0,255.0,0.0,0.0,699.0,1008.0,0.0,0.0,495
255,255.0,255.0,255.0,0.0,495.0,699.0,1008.0,0.0,472
255,255.0,255.0,255.0,255.0,472.0,495.0,699.0,1008.0,429
255,255.0,255.0,255.0,255.0,429.0,472.0,495.0,699.0,404
255,255.0,255.0,255.0,255.0,404.0,429.0,472.0,495.0,381
255,255.0,255.0,255.0,255.0,381.0,404.0,429.0,472.0,373
255,255.0,255.0,255.0,255.0,373.0,381.0,404.0,429.0,367
255,255.0,255.0,255.0,255.0,367.0,373.0,381.0,404.0,362
255,255.0,255.0,255.0,255.0,362.0,367.0,373.0,381.0,359
255,255.0,255.0,255.0,255.0,359.0,362.0,367.0,373.0,357
255,255.0,255.0,255.0,255.0,357.0,359.0,362.0,367.0,354
255,255.0,255.0,255.0,255.0,354.0,357.0,359.0,362.0,352
255,255.0,255.0,255.0,255.0,352.0,354.0,357.0,359.0,351
255,255.0,255.0,255.0,255.0,351.0,352.0,354.0,357.0,349
255,255.0,255.0,255.0,255.0,349.0,351.0,352.0,354.0,348
255,255.0,255.0,255.0,255.0,348.0,349.0,351.0,352.0,347
255,255.0,255.0,255.0,255.0,347.0,348.0,349.0,351.0,346
255,255.0,255.0,255.0,255.0,346.0,347.0,348.0,349.0,345
255,255.0,255.0,255.0,255.0,345.0,346.0,347.0,348.0,344
255,255.0,255.0,255.0,255.0,344.0,345.0,346.0,347.0,344
255,255.0,255.0,255.0,255.0,344.0,344.0,345.0,346.0,343
120,255.0,255.0,255.0,255.0,343.0,344.0,344.0,345.0,343
120,120.0,255.0,255.0,255.0,343.0,343.0,344.0,344.0,335
120,120.0,120.0,255.0,255.0,335.0,343.0,343.0,344.0,509
120,120.0,120.0,120.0,255.0,509.0,335.0,343.0,343.0,473
120,120.0,120.0,120.0,120.0,473.0,509.0,335.0,343.0,485
120,120.0,120.0,120.0,120.0,485.0,473.0,509.0,335.0,493
120,120.0,120.0,120.0,120.0,493.0,485.0,473.0,509.0,502
120,120.0,120.0,120.0,120.0,502.0,493.0,485.0,473.0,513
120,120.0,120.0,120.0,120.0,513.0,502.0,493.0,485.0,459
120,120.0,120.0,120.0,120.0,459.0,513.0,502.0,493.0,472
120,120.0,120.0,120.0,120.0,472.0,459.0,513.0,502.0,481
120,120.0,120.0,120.0,120.0,481.0,472.0,459.0,513.0,490
120,120.0,120.0,120.0,120.0,490.0,481.0,472.0,459.0,447
120,120.0,120.0,120.0,120.0,447.0,490.0,481.0,472.0,454
120,120.0,120.0,120.0,120.0,454.0,447.0,490.0,481.0,468
120,120.0,120.0,120.0,120.0,468.0,454.0,447.0,490.0,479
120,120.0,120.0,120.0,120.0,479.0,468.0,454.0,447.0,487
120,120.0,120.0,120.0,120.0,487.0,479.0,468.0,454.0,496
120,120.0,120.0,120.0,120.0,496.0,487.0,479.0,468.0,452
120,120.0,120.0,120.0,120.0,452.0,496.0,487.0,479.0,454
120,120.0,120.0,120.0,120.0,454.0,452.0,496.0,487.0,465
120,120.0,120.0,120.0,120.0,465.0,454.0,452.0,496.0,477
120,120.0,120.0,120.0,120.0,477.0,465.0,454.0,452.0,486
80,120.0,120.0,120.0,120.0,486.0,477.0,465.0,454.0,455
80,80.0,120.0,120.0,120.0,455.0,486.0,477.0,465.0,453
80,80.0,80.0,120.0,120.0,453.0,455.0,486.0,477.0,542
80,80.0,80.0,80.0,120.0,542.0,453.0,455.0,486.0,555
80,80.0,80.0,80.0,80.0,555.0,542.0,453.0,455.0,566
80,80.0,80.0,80.0,80.0,566.0,555.0,542.0,453.0,532
80,80.0,80.0,80.0,80.0,532.0,566.0,555.0,542.0,522
80,80.0,80.0,80.0,80.0,522.0,532.0,566.0,555.0,530
80,80.0,80.0,80.0,80.0,530.0,522.0,532.0,566.0,542
80,80.0,80.0,80.0,80.0,542.0,530.0,522.0,532.0,555
80,80.0,80.0,80.0,80.0,555.0,542.0,530.0,522.0,563
80,80.0,80.0,80.0,80.0,563.0,555.0,542.0,530.0,540
80,80.0,80.0,80.0,80.0,540.0,563.0,555.0,542.0,581
80,80.0,80.0,80.0,80.0,581.0,540.0,563.0,555.0,581
80,80.0,80.0,80.0,80.0,581.0,581.0,540.0,563.0,577
80,80.0,80.0,80.0,80.0,577.0,581.0,581.0,540.0,561
80,80.0,80.0,80.0,80.0,561.0,577.0,581.0,581.0,566
80,80.0,80.0,80.0,80.0,566.0,561.0,577.0,581.0,574
80,80.0,80.0,80.0,80.0,574.0,566.0,561.0,577.0,577
80,80.0,80.0,80.0,80.0,577.0,574.0,566.0,561.0,581
80,80.0,80.0,80.0,80.0,581.0,577.0,574.0,566.0,542
